id,student_number,full_name,gender,test_results,degree_names,exam_dates
1,548539899,Caren Barehead,Female,"76,98,87,26,51,48,46,35,48,43,15,31,14,74,63,93,42,70,70,16,73,82,02,43,",,
2,628265305,Marcos Strawbridge,Male,"32,10,76,33,01,06,38,28,71,41,26,92,88,69,00,09,04,73,83,74,17,85,14,86,",,
3,577413777,Val Putnam,Female,"47,41,38,62,30,47,22,76,37,71,80,87,04,66,92,43,17,29,16,36,33,36,35,27,",,
4,107217073,Layney McGarry,Female,"05,85,64,05,66,63,38,22,91,01,41,90,04,34,24,10,51,13,48,75,65,58,43,83,",,
5,147775945,Lissy Scholard,Female,"23,36,58,51,99,59,93,63,26,18,43,49,97,33,26,32,14,32,15,18,77,34,44,47,",,
6,941233498,Doralynn Crellin,Female,"22,85,76,78,24,56,41,85,17,02,01,75,18,34,18,88,37,63,54,15,95,61,03,12,",,
7,626672574,Kennedy Lux,Male,"18,63,14,52,47,12,34,70,08,06,55,87,70,88,81,16,16,55,75,59,94,90,28,06,",,
8,942332444,Tarra Knivett,Female,"38,94,85,19,40,51,78,44,03,61,72,65,02,24,56,68,74,68,06,82,95,86,80,25,",,
9,315815363,Yurik Horning,Male,"02,01,17,92,69,38,38,05,45,14,72,71,17,74,60,85,30,55,45,23,29,67,75,82,",,
10,698813501,Elaina Gowrie,Female,"00,80,43,48,50,36,70,70,61,86,34,20,99,58,85,12,35,83,88,72,87,01,05,04,",,
11,684893880,Wilhelmina Bythell,Female,"56,71,56,73,90,31,34,95,94,98,60,05,23,67,77,90,10,30,30,86,20,51,78,64,",,
12,843567854,Sonny De la Feld,Female,"20,92,97,76,61,04,44,53,67,57,39,95,56,94,06,67,55,06,65,57,04,87,96,77,",,
13,79394818,Mischa Jurasz,Male,"22,82,91,85,42,53,00,41,73,34,44,06,83,41,24,20,20,29,32,12,53,72,26,13,",,
14,249669690,Glenn Ida,Female,"80,98,90,30,67,34,40,39,08,95,02,12,53,60,14,55,72,13,64,87,79,34,02,39,",,
15,258189880,Konstantin Haward,Male,"67,86,40,47,74,23,55,44,45,76,87,19,09,92,56,65,72,37,23,89,43,68,61,13,",,
16,652631402,Jarret Stormes,Male,"08,87,13,41,98,83,65,91,56,88,53,76,01,27,94,74,47,64,33,29,20,13,56,69,",,
17,327116841,Hatti Pittem,Female,"80,10,28,89,99,06,47,89,71,15,34,48,56,78,33,81,50,31,76,17,02,15,96,15,",,
18,86843561,Erny Brik,Male,"00,65,05,80,94,38,10,19,81,86,74,00,79,01,84,73,46,21,49,19,50,76,28,34,",,
19,933470206,Lindsey Romaint,Female,"88,60,73,80,73,28,94,69,20,67,80,98,13,95,38,29,21,90,13,20,00,85,64,48,",,
20,389512420,Osmond Roylance,Male,"61,94,16,17,83,91,34,64,31,17,21,79,26,31,52,02,74,66,46,76,53,98,60,78,",,
21,620594117,Brunhilde Gooderidge,Female,"07,71,51,91,62,10,51,27,71,92,00,32,78,90,88,03,02,93,55,34,63,62,87,87,",,
22,782208402,Ewell Ifill,Male,"01,92,35,16,21,96,04,93,86,43,89,01,05,56,92,70,68,19,20,85,90,46,69,96,",,
23,858834910,Margarette Andrat,Female,"44,47,58,81,01,25,58,90,43,64,31,99,48,73,49,83,52,45,34,97,69,34,11,22,",,
24,689926961,Sansone Tresler,Male,"38,93,33,50,29,63,00,04,25,01,73,49,26,90,20,44,56,31,29,69,38,02,60,07,",,
25,696347012,Delly Shaddick,Non-binary,"68,85,81,61,40,18,39,06,98,12,32,52,27,85,27,37,73,84,00,48,36,56,92,72,",,
26,972588425,Garrott Stooke,Male,"06,73,16,61,41,28,20,21,16,67,45,30,92,11,53,97,54,13,64,46,65,69,64,43,",,
